42	304	317	332	338	349	361	368	375	373	378	366	382	437	472	465	602	591	625	730	645	650	696	742	788	834	880	868	856	843	831	819	810	801	793	784	775	770	765	760	755	750	875	1000	1124	1249	1374	1337	1299	1262	1246	1229	1187	1247	1272	1312	1290	1172	1100	1089	1088	1037
44	1198	1305	1487	1445	1491	1522	1725	1665	1670	1893	2040	2386	2528	3532	3295	1509	2029	2712	3083	4094	5367	5329	5292	5254	5217	5179	5460	5741	6023	6304	6585	7096	7607	8118	8629	9140	9406	9672	9937	10203	10469	10809	11149	11488	11828	12168	12577	12985	13394	13495	13596	14223	14827	15238	15349	15491	15576	15543	15875	15709	14544
45	249	206	189	200	227	264	280	259	245	268	303	318	353	420	428	477	441	495	420	494	523	580	638	695	753	810	866	922	979	1035	1091	1240	1389	1537	1686	1835	1999	2163	2326	2490	2654	2944	3233	3523	3812	4102	4634	5165	5697	6249	6801	7406	7928	8492	9048	9598	10197	10840	11518	12160	12403
46	1076	1177	1247	1179	1417	1330	1217	1241	1247	1314	1438	1525	1651	1920	2251	2330	2667	3308	3862	4533	5297	5298	5299	5301	5302	5303	5462	5621	5779	5938	6097	6237	6378	6518	6659	6799	6763	6727	6691	6655	6619	6756	6893	7031	7168	7305	7620	7935	8250	8369	8488	8936	9190	9527	9832	10023	10123	10107	10172	10306	9419
48	404	454	485	489	513	529	574	601	622	637	638	724	899	1152	1207	1535	1466	1444	1611	2135	2951	3190	3430	3669	3909	4148	4030	3911	3793	3674	3556	3480	3404	3329	3253	3177	3166	3154	3143	3131	3120	3172	3224	3277	3329	3381	3399	3416	3434	3621	3808	3829	3870	3905	4062	4065	3624	3340	3186	3147	2882
50	1177	1098	1036	1069	1095	1159	1227	1288	1385	1488	1674	1787	2007	2421	2578	2961	3551	4404	4915	5477	6378	6213	6048	5883	5718	5553	5690	5827	5965	6102	6239	6437	6634	6832	7029	7227	7409	7591	7773	7955	8137	8318	8499	8680	8861	9042	9492	9942	10392	10385	10377	10711	11128	11378	11644	11835	12208	12592	12801	12998	12349
51	975	1004	1125	1094	1185	1231	1317	1310	1375	1498	1591	1729	1894	2443	3115	3179	3462	3726	4119	4805	5619	6352	5776	4965	4769	4817	4814	4967	5553	5990	14179	13330	12481	11633	10784	9935	10381	10827	11272	11718	12164	12801	13437	14074	14710	15347	16024	16701	17378	16788	16198	16669	16356	16222	16234	16558	17268	18071	18747	19492	17895
52	1530	1520	1530	1520	1655	1735	1865	1886	2000	2199	2647	3159	3653	4412	4963	5595	5858	5979	7452	8124	8211	8267	8559	9031	9725	9211	9653	9947	10718	10440	10953	9706	8525	7215	7230	7372	7914	8101	8083	8553	9017	9275	9380	9710	10246	11373	12730	13644	14197	14394	14767	15140	15550	15920	16123	16367	16448	16754	17143	17133	15279
53	705	726	813	791	856	890	952	947	994	1083	1150	1250	1369	1766	2252	1930	2288	2919	3815	5060	8367	8827	9288	9748	10209	10669	11275	11880	12486	13091	13697	14019	14341	14664	14986	15308	15595	15881	16168	16454	16741	16979	17217	17454	17692	17930	18453	18977	19500	19204	18908	18506	17811	16771	16533	17014	18029	18907	19741	20612	19689
54	1591	1581	1591	1581	1721	1804	1939	1961	2080	2287	2462	2722	3021	3941	5079	5357	5472	6002	6924	8179	9321	10363	9522	8543	8327	8294	8567	9081	9868	10699	16415	16255	16096	15936	15777	15617	15881	16145	16408	16672	16936	17627	18319	19010	19702	20393	21371	22350	23328	22981	22633	23031	22793	22666	23091	24001	24563	25764	26505	27201	25642
55	106	100	97	104	116	126	121	120	122	133	145	151	166	199	239	260	277	314	318	365	422	428	440	451	459	490	492	467	490	510	532	556	582	608	639	670	704	734	742	769	767	732	771	996	1294	1297	1377	1310	1389	1397	1406	1412	1493	1577	1658	1739	1767	1806	1845	1873	1798
56	881	785	909	1461	667	911	992	720	808	1010	951	1061	1138	1412	1674	1735	1588	1972	2383	2268	2105	1783	1889	1482	1029	916	1001	919	1031	1015	1015	895	771	641	593	578	556	512	492	460	404	385	385	394	408	420	429	442	455	453	468	483	500	526	554	573	567	568	582	588	579
57	2084	2298	2569	2713	3077	3429	3707	4020	4130	4684	5143	5700	6914	9115	10099	11955	13154	14671	17750	20651	20790	21395	22000	22604	23209	23814	24140	24465	24791	25116	25442	25964	26487	27009	27532	28054	28774	29494	30213	30933	31653	31961	32269	32577	32885	33193	33457	33720	33984	33224	32464	32777	32695	32560	32876	33144	33954	34688	35203	35601	34637
58	567	550	560	581	643	688	690	690	712	777	843	900	990	1234	1536	1642	1714	1910	2062	2398	2750	2927	2835	2722	2713	3010	2852	2862	2812	2723	2736	2608	2481	2353	2226	2098	2030	1961	1893	1824	1756	1773	1790	1806	1823	1840	1902	1964	2026	2100	2146	2211	2349	2396	2502	2511	2645	2744	2829	2939	2934
60	726	705	719	751	817	877	884	882	909	993	1071	1141	1245	1547	1921	2066	2129	2378	2920	2837	3766	3753	3740	3728	3715	3702	3728	3754	3781	3807	3833	3966	4099	4231	4364	4497	4755	5012	5270	5527	5785	5904	6023	6142	6261	6380	6829	7279	7728	8058	8387	8491	8584	8862	9376	9889	10426	10790	11417	11866	10950
61	867	816	776	816	882	916	958	1018	1055	1143	1069	1004	1163	1516	2230	2566	3048	3608	3939	4721	5699	5627	5555	5484	5412	5340	5355	5370	5384	5399	5414	5445	5476	5506	5537	5568	5531	5493	5456	5418	5381	5607	5833	6058	6284	6510	6716	6922	7128	7165	7201	7628	7915	8132	8286	8171	7951	8014	7965	7815	7106
62	701	714	642	650	728	759	773	787	841	922	1009	1061	1100	1181	1083	1344	1536	1645	1632	1949	2404	2514	2624	2734	2844	2954	3011	3067	3124	3180	3237	3290	3344	3397	3451	3504	3631	3759	3886	4014	4141	4211	4281	4351	4421	4491	4733	4974	5216	5380	5544	5518	5507	5489	5480	5581	5703	5824	6019	6240	6351
63	1285	1267	1363	1395	1489	1541	1584	1616	1625	1644	1727	1761	1828	2035	2294	2536	3067	3798	3961	4309	4372	4205	4039	3872	3706	3539	3566	3592	3619	3645	3672	3859	4047	4234	4422	4609	4721	4834	4946	5059	5171	5277	5383	5490	5596	5702	5852	6001	6151	6066	5981	6071	6141	6210	6254	6361	6502	6633	6783	6939	6384
64	826	777	311	365	422	2114	2206	2252	2057	2025	2005	2005	2093	2722	3318	3850	3989	4149	2446	2632	2703	2644	2625	2474	2489	2239	2191	2143	2095	2047	1999	2071	2143	2216	2288	2360	3624	4889	6153	7418	8682	11908	15134	18361	21587	24813	26871	28930	30988	31072	31156	30815	31494	28578	27658	23583	20705	18835	17056	15592	14445
65	167	157	152	164	183	225	242	239	244	265	267	274	260	310	382	464	393	427	495	532	547	535	531	500	503	542	503	539	537	531	538	521	498	566	687	703	691	679	666	654	642	633	624	614	605	596	561	525	490	490	490	520	528	539	549	551	560	572	584	593	569
66	1558	1548	1558	1548	1685	1766	1899	1920	2037	2239	2410	2665	2959	3859	4974	5245	5358	5877	6780	8009	9127	9326	9525	9723	9922	10121	10128	10135	10142	10149	10156	9685	9214	8742	8271	7800	8438	9077	9715	10354	10992	12104	13216	14327	15439	16551	17243	17934	18626	17587	16547	17856	18850	19213	19824	20074	20701	21874	22623	23382	23207
67	205	193	187	200	225	276	296	293	299	324	327	336	318	380	468	569	481	523	606	652	670	436	447	481	440	499	508	517	527	536	545	533	521	509	497	485	493	502	510	519	527	549	571	592	614	636	695	755	814	874	934	1013	1073	1157	1245	1332	1419	1513	1573	1660	1714
69	18368	18368	18368	18368	18368	18368	18368	18368	18368	18368	18368	18368	18368	18368	18368	18368	18368	18368	18368	18368	18368	18771	19175	19578	19982	20385	21050	21715	22380	23045	23710	24043	24376	24708	25041	25374	26219	27063	27908	28752	29597	30226	30856	31485	32115	32744	33141	33539	33936	33126	32315	33493	34373	35496	35445	34478	35029	35807	36575	37128	35632
70	518	521	529	538	564	575	574	605	607	648	766	845	1058	1394	1792	2153	2144	2182	2469	2976	3434	3356	3278	3199	3121	3043	3121	3199	3278	3356	3434	3480	3525	3571	3616	3662	3707	3752	3796	3841	3886	3973	4061	4148	4236	4323	4315	4308	4300	4238	4175	4014	4052	4234	4498	4622	4729	4979	5169	5142	4257
71	1899	2138	2274	2452	2749	3031	3237	3276	3071	3507	3924	4318	5056	6641	8429	9955	10724	11248	12138	14849	17858	18275	18691	19108	19524	19941	20581	21221	21861	22501	23141	22894	22647	22401	22154	21907	22995	24083	25172	26260	27348	28022	28696	29370	30044	30718	31697	32675	33654	32689	31723	32457	31908	31588	31302	31419	32210	33160	33493	33866	33021
72	2187	2335	2582	2854	3122	3333	3575	3831	4146	4497	4672	5181	6310	8146	8727	10930	11229	12338	15158	18265	20748	20965	21182	21400	21617	21834	22455	23076	23696	24317	24938	25147	25355	25564	25772	25981	26605	27229	27852	28476	29100	29381	29662	29943	30224	30505	30796	31088	31379	31007	30634	31174	31141	31230	31125	31396	31656	32288	32772	33262	30671
73	3288	3435	3666	3899	4209	4375	5161	5101	5779	5219	5273	5957	6339	8133	10155	12240	12590	13226	16265	19068	20748	20965	21182	21400	21617	21834	22455	23076	23696	24317	24938	25147	25355	25564	25772	25981	26605	27229	27852	28476	29100	29381	29662	29943	30224	30505	30796	31088	31379	31007	30634	32437	34232	36385	38272	37174	37768	38607	39435	40031	38418
75	790	931	1009	847	1175	1215	1313	1440	1556	1657	1651	1906	2115	3471	7228	9831	13355	12140	10049	12393	17007	16909	16811	16712	16614	16516	16202	15887	15573	15258	14944	14927	14910	14894	14877	14860	14538	14216	13895	13573	13251	13204	13156	13109	13061	13014	13157	13299	13442	13471	13500	14116	14511	14966	15250	15476	15363	15046	14814	15046	14449
