17	11328.8	11537	11745.3	11953.5	12161.8	12370	12578.3	12786.5	12994.8	13203	13411.3	13829.1	14247	14664.8	15082.6	15500.5	15918.3	16336.1	16754	17171.8	17589.6	18159.7	18729.8	19299.9	19870	20440.1	21010.2	21580.3	22150.4	22720.5	23290.6	23770.5	24250.4	24730.2	25210.1	25690	26169.9	26649.8	27129.7	27609.6	28089.5	28598.2	29106.9	29615.7	30124.4	30633.1	31141.9	31650.6	32159.3	32668.1	33176.8	33744.7	34312.5	34880.4	35448.2	36016.1	36583.9	37151.8	37719.7	38287.5	38855.4	39664	40472.6	41281.2	42089.8	42898.4	43707	44515.6	45324.2	46132.8	46941.4	47524.2	48107	48689.8	49272.6	49855.3	50438.1	51020.9	51603.7	52186.5	52769.3	53670.9	54572.5	55474.1	56375.7	57277.3	58179	59080.6	59982.2	60883.8	61785.4
18	30160.3	30953.6	31746.8	32540.1	33333.4	34126.7	34920	35713.2	36506.5	37299.8	38093.1	39554.4	41015.8	42477.1	43938.5	45399.9	46861.2	48322.6	49783.9	51245.3	52706.6	55187.7	57668.7	60149.7	62630.7	65111.7	67592.7	70073.7	72554.7	75035.8	77516.8	81703.7	85890.6	90077.6	94264.5	98451.5	102638	106825	111012	115199	119386	124799	130213	135626	141040	146453	151866	157280	162693	168106	173520	178533	183546	188559	193572	198585	203598	208611	213624	218637	223650	227160	230670	234181	237691	241202	244712	248222	251733	255243	258754	260909	263065	265221	267376	269532	271688	273843	275999	278155	280310	282123	283936	285749	287562	289375	291188	293001	294814	296627	298440
19	1052.21	1041.81	1031.41	1021.01	1010.61	1000.21	989.805	979.404	969.004	958.603	948.202	957.01	965.819	974.627	983.435	992.244	1001.05	1009.86	1018.67	1027.48	1036.29	1063.27	1090.26	1117.24	1144.23	1171.22	1198.2	1225.19	1252.18	1279.16	1306.15	1340.44	1374.73	1409.02	1443.31	1477.6	1511.89	1546.18	1580.47	1614.76	1649.05	1712.3	1775.55	1838.81	1902.06	1965.31	2028.56	2091.82	2155.07	2218.32	2281.57	2370.44	2459.31	2548.17	2637.04	2725.91	2814.78	2903.64	2992.51	3081.38	3170.25	3203.58	3236.91	3270.24	3303.57	3336.9	3370.23	3403.56	3436.89	3470.22	3503.55	3534.28	3565.02	3595.75	3626.48	3657.22	3687.95	3718.68	3749.42	3780.15	3810.89	3822.76	3834.64	3846.52	3858.4	3870.28	3882.15	3894.03	3905.91	3917.79	3929.67
20	32101.9	31890.4	31679	31467.5	31256.1	31044.6	30833.2	30621.7	30410.3	30198.8	29987.4	30591.8	31196.3	31800.7	32405.2	33009.6	33614	34218.5	34822.9	35427.4	36031.8	36535.8	37039.7	37543.7	38047.7	38551.7	39055.6	39559.6	40063.6	40567.5	41071.5	41405.7	41740	42074.2	42408.4	42742.7	43076.9	43411.1	43745.4	44079.6	44413.8	44890.2	45366.6	45843	46319.4	46795.8	47272.2	47748.6	48225	48701.4	49177.8	49966.3	50754.7	51543.1	52331.6	53120	53908.4	54696.9	55485.3	56273.8	57062.2	57317.1	57572.1	57827	58082	58336.9	58591.9	58846.8	59101.8	59356.7	59611.7	59621.6	59631.5	59641.4	59651.3	59661.2	59671.1	59681	59690.9	59700.8	59710.7	59717.5	59724.3	59731	59737.8	59744.6	59751.4	59758.2	59765	59771.7	59778.5
21	87120.6	86234.7	85348.7	84462.8	83576.8	82690.9	81804.9	80919	80033	79147.1	78261.1	78854	79446.9	80039.8	80632.6	81225.5	81818.4	82411.3	83004.2	83597	84189.9	85804.2	87418.5	89032.8	90647	92261.3	93875.6	95489.9	97104.1	98718.4	100333	102642	104951	107261	109570	111880	114189	116498	118808	121117	123426	127396	131366	135336	139305	143275	147245	151214	155184	159154	163124	165638	168152	170666	173180	175694	178208	180722	183236	185750	188264	190855	193446	196037	198628	201218	203809	206400	208991	211582	214172	216925	219677	222429	225182	227934	230686	233439	236191	238943	241696	244253	246811	249368	251926	254484	257041	259599	262157	264714	267272
22	209.779	207.706	205.632	203.559	201.485	199.411	197.338	195.264	193.191	191.117	189.043	190.8	192.556	194.312	196.068	197.824	199.58	201.336	203.092	204.848	206.605	211.985	217.365	222.745	228.126	233.506	238.886	244.266	249.647	255.027	260.407	267.244	274.08	280.917	287.753	294.589	301.426	308.262	315.099	321.935	328.772	341.382	353.993	366.603	379.214	391.825	404.435	417.046	429.657	442.267	454.878	472.595	490.313	508.031	525.748	543.466	561.183	578.901	596.618	614.336	632.053	638.698	645.343	651.988	658.633	665.279	671.924	678.569	685.214	691.859	698.504	704.631	710.759	716.886	723.013	729.141	735.268	741.396	747.523	753.65	759.778	762.146	764.514	766.882	769.25	771.618	773.987	776.355	778.723	781.091	783.459
23	146.811	148.03	149.249	150.468	151.687	152.906	154.125	155.344	156.563	157.782	159.001	164.227	169.453	174.679	179.905	185.13	190.356	195.582	200.808	206.034	211.259	224.827	238.395	251.962	265.53	279.098	292.666	306.233	319.801	333.369	346.936	375.251	403.566	431.88	460.195	488.51	516.824	545.139	573.454	601.768	630.083	672.985	715.888	758.79	801.693	844.596	887.498	930.401	973.303	1016.21	1059.11	1113.74	1168.38	1223.01	1277.64	1332.28	1386.91	1441.54	1496.18	1550.81	1605.44	1671.54	1737.63	1803.73	1869.82	1935.92	2002.01	2068.1	2134.2	2200.29	2266.39	2347.5	2428.6	2509.71	2590.82	2671.93	2753.04	2834.14	2915.25	2996.36	3077.47	3180.1	3282.74	3385.37	3488.01	3590.64	3693.28	3795.91	3898.55	4001.18	4103.82
24	719.875	712.759	705.643	698.528	691.412	684.296	677.18	670.065	662.949	655.833	648.718	654.744	660.77	666.796	672.823	678.849	684.875	690.901	696.927	702.954	708.98	727.443	745.906	764.368	782.831	801.294	819.757	838.22	856.683	875.145	893.608	917.068	940.528	963.987	987.447	1010.91	1034.37	1057.83	1081.29	1104.75	1128.21	1171.48	1214.75	1258.03	1301.3	1344.58	1387.85	1431.13	1474.4	1517.68	1560.95	1621.75	1682.55	1743.35	1804.15	1864.95	1925.74	1986.54	2047.34	2108.14	2168.94	2191.74	2214.55	2237.35	2260.15	2282.96	2305.76	2328.56	2351.36	2374.17	2396.97	2418	2439.02	2460.05	2481.08	2502.1	2523.13	2544.16	2565.18	2586.21	2607.24	2615.36	2623.49	2631.62	2639.74	2647.87	2656	2664.12	2672.25	2680.38	2688.5
25	3491.15	3582.98	3674.8	3766.62	3858.45	3950.27	4042.1	4133.92	4225.75	4317.57	4409.4	4578.55	4747.71	4916.87	5086.02	5255.18	5424.34	5593.49	5762.65	5931.81	6100.96	6388.15	6675.33	6962.52	7249.7	7536.89	7824.07	8111.26	8398.44	8685.63	8972.81	9457.47	9942.12	10426.8	10911.4	11396.1	11880.7	12365.4	12850	13334.7	13819.3	14445.9	15072.6	15699.2	16325.8	16952.4	17579	18205.6	18832.2	19458.8	20085.4	20665.7	21246	21826.3	22406.5	22986.8	23567.1	24147.3	24727.6	25307.9	25888.2	26294.5	26700.8	27107.2	27513.5	27919.9	28326.2	28732.5	29138.9	29545.2	29951.6	30201.1	30450.6	30700.1	30949.7	31199.2	31448.7	31698.2	31947.8	32197.3	32446.8	32656.7	32866.5	33076.4	33286.2	33496.1	33705.9	33915.8	34125.6	34335.5	34545.4
26	5420.04	5366.46	5312.89	5259.31	5205.74	5152.16	5098.59	5045.01	4991.44	4937.86	4884.29	4929.66	4975.03	5020.4	5065.78	5111.15	5156.52	5201.89	5247.27	5292.64	5338.01	5477.02	5616.03	5755.04	5894.05	6033.06	6172.06	6311.07	6450.08	6589.09	6728.1	6904.73	7081.37	7258	7434.63	7611.26	7787.89	7964.52	8141.16	8317.79	8494.42	8820.24	9146.06	9471.88	9797.7	10123.5	10449.3	10775.2	11101	11426.8	11752.6	12210.4	12668.1	13125.9	13583.7	14041.4	14499.2	14957	15414.7	15872.5	16330.3	16501.9	16673.6	16845.3	17017	17188.7	17360.4	17532.1	17703.8	17875.4	18047.1	18205.4	18363.8	18522.1	18680.4	18838.7	18997	19155.3	19313.6	19471.9	19630.3	19691.4	19752.6	19813.8	19875	19936.2	19997.4	20058.6	20119.7	20180.9	20242.1
