17	0	0	0	0	0	0	0	0	0	0	0	6417.44256	5995.018729	8533.06104	9053.194672	8042.374415	9635.497529	8232.644358	7886.303384	8861.100358	7836.843531	8340.676855	9122.196021	8552.28788	8880.986787	9975.911966	8248.992097	7880.526828	8821.558081	8714.649735	8825.513146	7976.403485	8319.860072	8746.281665	9073.51342	8818.158403	8635.985556	9130.508983	9512.982689	9020.934481	9189.511637	9445.440538	10019.42623	10432.9289	10375.16524	10348.06369	10193.24756	9456.593856	8784.7075	8096.253521	8096.253521
18	0	0	0	0	0	0	0	0	0	0	0	83.80140981	85.78244797	92.16066468	94.32200381	95.30796787	99.30344806	99.09566873	99.60020162	100.5308648	104.2162001	103.4415173	106.3546066	106.0396524	104.7444732	107.8162774	112.3460895	107.6395712	115.1783186	117.8235031	120.9964074	116.5114759	120.2354391	124.1903757	126.9887718	135.3076212	133.3361856	136.5121189	139.4543084	138.7036124	143.5508328	153.2171264	154.5896641	158.971028	162.5804664	169.8442132	178.3393652	184.024701	192.0618951	201.314676	201.314676
19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1240.797993	0	0	0	0	0	0	0	0	0	0	0	0	0	1389.161576	1441.758502	1468.298766	1476.338092	1476.338092	1476.338092	1476.338092
20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4470.353617	4348.462625	3620.727682	3076.697041	2615.736482	2427.666765	2501.346161	2505.602748	2465.396663	2408.822222	2467.192904	2484.799681	2544.244131	2633.088954	2735.834452	2749.003988	2941.621474	2891.955576	2931.195793	2814.804986	2814.804986
21	2528.686698	2575.56535	2810.516923	3045.440052	3025.29636	3121.183108	3057.659655	3190.913571	3600.76903	3890.366587	4142.729197	4100.023984	4474.90411	4722.587492	4619.587531	4320.448392	4625.637957	4593.429851	4831.818616	4982.443835	4749.472327	4418.491271	4208.031757	4156.165889	4336.862275	4473.613512	4633.789799	4728.6154	4771.114421	4798.546891	4844.175612	5055.893348	5093.026879	4954.278645	5225.413124	5304.057592	5586.58915	5579.645025	5659.696658	5689.205066	5707.016485	5673.665695	5454.616568	5709.103575	5650.965341	5600.4279	5509.343894	5366.718146	5469.581576	5299.74752	5220.889409
22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	562	0	0	0	0	0	0	0	0	0	0	0	0	0	548.4784147	551.7477724	570.6967145	571.4285714	571.4285714	571.4285714	571.4285714
23	0	0	0	0	0	0	0	0	0	0	0	379.885537	389.4989593	389.1816629	388.6980126	390.7942165	369.8777086	373.6130222	378.5664642	375.2039073	374.6076113	364.0850169	366.5286045	366.5297665	365.2845483	372.6083142	366.0373598	361.1835378	360.3984832	352.0770903	348.0551679	341.8402267	338.3274589	334.3533258	330.2209651	326.8419599	369.4250329	372.6526959	357.6440994	362.7778982	304.1926659	313.7093111	327.5299673	334.6629493	336.7877875	327.5248348	374.7682682	395.3433763	392.4894507	403.9693686	403.9693686
24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100.2237207	0	0	0	0	0	0	0	0	0	0	0	0	0	280.1992528	309.4223661	312.7403914	354.3519208	354.3519208	354.3519208	354.3519208
26	0	0	0	0	0	0	0	0	0	0	0	236.2821803	254.9001223	263.0909492	274.9757824	310.9790009	332.5338432	347.2156715	367.6289147	395.5605141	456.6892019	469.0208873	482.7251266	448.3482334	437.7402751	423.0169384	391.2774321	354.6328984	362.4214462	377.4732012	392.071172	394.9575232	408.71671	420.1227648	452.7632618	497.6750536	540.0293442	579.3272788	591.5454527	550.0819408	455.3853454	347.1987773	412.7105047	427.3473269	408.0996184	571.0302837	694.229079	571.8441079	621.5358042	637.6007181	637.6007181
27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1628.893943	1519.336811	1131.637759	1016.286872	425.1939323	459.8268118	539.756818	812.4667223	974.0213804	931.5545624	1179.441308	1122.859003	1169.38581	1165.202419	1273.63873	1334.888036	1426.141346	1479.142818	1583.14795	1579.900432	1579.900432
28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	751.2433572	760.8728371	742.5862982	731.3537951	748.4678345	794.1381088	765.5758047	873.4507888	905.5481014	912.3281666	901.1569505	1008.784756	984.4094136	944.8685798	943.0374039	894.2220996	917.4634968	1018.018539	1030.956284	1044.621926	1046.575161	1059.886522	1041.910206	1002.679994	1027.91638	1032.300404	1062.192743	1110.352758	1033.69843	1033.69843
